user_id,account_create_month,purchase_month
1,2023-11-01,2023-12-01
1,2023-11-01,2023-12-01
1,2023-11-01,2023-12-01
1,2023-11-01,2023-12-01
2,2023-12-01,2023-12-31
2,2023-12-01,2024-01-01
2,2023-12-01,2024-01-01
2,2023-12-01,2024-01-01
3,2023-12-01,2023-12-31
3,2023-12-01,2024-01-01
3,2023-12-01,2024-01-01
3,2023-12-01,2024-01-01
3,2023-12-01,2024-01-01
4,2024-01-01,2024-01-31
4,2024-01-01,2024-03-01
4,2024-01-01,2024-03-01
4,2024-01-01,2024-03-01
4,2024-01-01,2024-03-01
4,2024-01-01,2024-03-01
5,2024-02-01,2024-03-02
5,2024-02-01,2024-04-01
5,2024-02-01,2024-05-01
6,2024-03-01,2024-03-31
6,2024-03-01,2024-04-01
6,2024-03-01,2024-05-01
6,2024-03-01,2024-05-01
7,2024-04-01,2024-05-01
7,2024-04-01,2024-05-01
7,2024-04-01,2024-05-01
8,2023-11-01,2023-12-01
8,2023-11-01,2023-12-01
8,2023-11-01,2023-12-01
8,2023-11-01,2023-12-01
8,2023-11-01,2023-12-01
8,2023-11-01,2023-12-01
9,2023-12-01,2023-12-31
9,2023-12-01,2024-01-01
9,2023-12-01,2024-01-01
10,2023-12-01,2023-12-31
10,2023-12-01,2024-01-01
10,2023-12-01,2024-01-01
11,2024-01-01,2024-01-31
11,2024-01-01,2024-03-01
11,2024-01-01,2024-03-01
11,2024-01-01,2024-03-01
11,2024-01-01,2024-03-01
11,2024-01-01,2024-03-01
12,2024-02-01,2024-03-02
12,2024-02-01,2024-04-01
12,2024-02-01,2024-05-01
12,2024-02-01,2024-05-01
13,2024-03-01,2024-03-31
13,2024-03-01,2024-04-01
13,2024-03-01,2024-05-01
14,2024-04-01,2024-05-01
14,2024-04-01,2024-05-01
14,2024-04-01,2024-05-01
14,2024-04-01,2024-05-01
15,2023-11-01,2023-12-01
15,2023-11-01,2023-12-01
15,2023-11-01,2023-12-01
15,2023-11-01,2023-12-01
15,2023-11-01,2023-12-01
15,2023-11-01,2023-12-01
16,2023-12-01,2023-12-31
16,2023-12-01,2024-01-01
16,2023-12-01,2024-01-01
16,2023-12-01,2024-01-01
16,2023-12-01,2024-01-01
17,2023-12-01,2023-12-31
17,2023-12-01,2024-01-01
17,2023-12-01,2024-01-01
18,2024-01-01,2024-01-31
18,2024-01-01,2024-03-01
18,2024-01-01,2024-03-01
18,2024-01-01,2024-03-01
18,2024-01-01,2024-03-01
18,2024-01-01,2024-03-01
19,2024-02-01,2024-03-02
19,2024-02-01,2024-04-01
19,2024-02-01,2024-05-01
19,2024-02-01,2024-05-01
19,2024-02-01,2024-05-01
19,2024-02-01,2024-05-01
20,2024-03-01,2024-03-31
20,2024-03-01,2024-04-01
20,2024-03-01,2024-05-01
20,2024-03-01,2024-05-01
21,2024-04-01,2024-05-01
21,2024-04-01,2024-05-01
21,2024-04-01,2024-05-01
22,2023-11-01,2023-12-01
22,2023-11-01,2023-12-01
22,2023-11-01,2023-12-01
22,2023-11-01,2023-12-01
23,2023-12-01,2023-12-31
23,2023-12-01,2024-01-01
23,2023-12-01,2024-01-01
23,2023-12-01,2024-01-01
23,2023-12-01,2024-01-01
23,2023-12-01,2024-01-01
24,2023-12-01,2023-12-31
24,2023-12-01,2024-01-01
24,2023-12-01,2024-01-01
24,2023-12-01,2024-01-01
24,2023-12-01,2024-01-01
25,2024-01-01,2024-01-31
25,2024-01-01,2024-03-01
25,2024-01-01,2024-03-01
25,2024-01-01,2024-03-01
25,2024-01-01,2024-03-01
25,2024-01-01,2024-03-01
26,2024-02-01,2024-03-02
26,2024-02-01,2024-04-01
26,2024-02-01,2024-05-01
27,2024-03-01,2024-03-31
27,2024-03-01,2024-04-01
27,2024-03-01,2024-05-01
28,2024-04-01,2024-05-01
28,2024-04-01,2024-05-01
28,2024-04-01,2024-05-01
29,2023-11-01,2023-12-01
29,2023-11-01,2023-12-01
29,2023-11-01,2023-12-01
29,2023-11-01,2023-12-01
29,2023-11-01,2023-12-01
30,2023-12-01,2023-12-31
30,2023-12-01,2024-01-01
30,2023-12-01,2024-01-01
30,2023-12-01,2024-01-01
30,2023-12-01,2024-01-01
30,2023-12-01,2024-01-01
31,2023-12-01,2023-12-31
31,2023-12-01,2024-01-01
31,2023-12-01,2024-01-01
31,2023-12-01,2024-01-01
31,2023-12-01,2024-01-01
32,2024-01-01,2024-01-31
32,2024-01-01,2024-03-01
32,2024-01-01,2024-03-01
32,2024-01-01,2024-03-01
32,2024-01-01,2024-03-01
33,2024-02-01,2024-03-02
33,2024-02-01,2024-04-01
33,2024-02-01,2024-05-01
33,2024-02-01,2024-05-01
33,2024-02-01,2024-05-01
33,2024-02-01,2024-05-01
34,2024-03-01,2024-03-31
34,2024-03-01,2024-04-01
34,2024-03-01,2024-05-01
34,2024-03-01,2024-05-01
34,2024-03-01,2024-05-01
34,2024-03-01,2024-05-01
35,2024-04-01,2024-05-01
35,2024-04-01,2024-05-01
35,2024-04-01,2024-05-01
35,2024-04-01,2024-05-01
35,2024-04-01,2024-05-01
35,2024-04-01,2024-05-01
36,2023-11-01,2023-12-01
36,2023-11-01,2023-12-01
36,2023-11-01,2023-12-01
37,2023-12-01,2023-12-31
37,2023-12-01,2024-01-01
37,2023-12-01,2024-01-01
37,2023-12-01,2024-01-01
37,2023-12-01,2024-01-01
37,2023-12-01,2024-01-01
38,2023-12-01,2023-12-31
38,2023-12-01,2024-01-01
38,2023-12-01,2024-01-01
38,2023-12-01,2024-01-01
39,2024-01-01,2024-01-31
39,2024-01-01,2024-03-01
39,2024-01-01,2024-03-01
39,2024-01-01,2024-03-01
40,2024-02-01,2024-03-02
40,2024-02-01,2024-04-01
40,2024-02-01,2024-05-01
41,2024-03-01,2024-03-31
42,2024-04-01,2024-05-01
42,2024-04-01,2024-05-01
42,2024-04-01,2024-05-01
43,2023-11-01,2023-12-01
43,2023-11-01,2023-12-01
43,2023-11-01,2023-12-01
43,2023-11-01,2023-12-01
43,2023-11-01,2023-12-01
43,2023-11-01,2023-12-01
44,2023-12-01,2023-12-31
44,2023-12-01,2024-01-01
44,2023-12-01,2024-01-01
45,2023-12-01,2023-12-31
46,2024-01-01,2024-01-31
47,2024-02-01,2024-03-02
48,2024-03-01,2024-03-31
48,2024-03-01,2024-04-01
48,2024-03-01,2024-05-01
49,2024-04-01,2024-05-01
49,2024-04-01,2024-05-01
49,2024-04-01,2024-05-01
50,2023-11-01,2023-12-01
50,2023-11-01,2023-12-01
50,2023-11-01,2023-12-01
51,2023-12-01,2023-12-31
51,2023-12-01,2024-01-01
51,2023-12-01,2024-01-01
52,2023-12-01,2023-12-31
52,2023-12-01,2024-01-01
52,2023-12-01,2024-01-01
52,2023-12-01,2024-01-01
53,2024-01-01,2024-01-31
53,2024-01-01,2024-03-01
53,2024-01-01,2024-03-01
54,2024-02-01,2024-03-02
54,2024-02-01,2024-04-01
54,2024-02-01,2024-05-01
55,2024-03-01,2024-03-31
55,2024-03-01,2024-04-01
55,2024-03-01,2024-05-01
55,2024-03-01,2024-05-01
55,2024-03-01,2024-05-01
56,2024-04-01,2024-05-01
56,2024-04-01,2024-05-01
56,2024-04-01,2024-05-01
57,2023-11-01,2023-12-01
57,2023-11-01,2023-12-01
57,2023-11-01,2023-12-01
57,2023-11-01,2023-12-01
57,2023-11-01,2023-12-01
58,2023-12-01,2023-12-31
58,2023-12-01,2024-01-01
58,2023-12-01,2024-01-01
58,2023-12-01,2024-01-01
58,2023-12-01,2024-01-01
58,2023-12-01,2024-01-01
59,2023-12-01,2023-12-31
59,2023-12-01,2024-01-01
59,2023-12-01,2024-01-01
59,2023-12-01,2024-01-01
60,2024-01-01,2024-01-31
60,2024-01-01,2024-03-01
60,2024-01-01,2024-03-01
61,2024-02-01,2024-03-02
61,2024-02-01,2024-04-01
61,2024-02-01,2024-05-01
61,2024-02-01,2024-05-01
62,2024-03-01,2024-03-31
62,2024-03-01,2024-04-01
