user_id,account_create_month,purchase_month,purchase_count
1,2023-11-01,2023-12-01,4
2,2023-12-01,2023-12-31,1
2,2023-12-01,2024-01-01,3
3,2023-12-01,2023-12-31,1
3,2023-12-01,2024-01-01,4
4,2024-01-01,2024-01-31,1
4,2024-01-01,2024-03-01,5
5,2024-02-01,2024-03-02,1
5,2024-02-01,2024-04-01,1
5,2024-02-01,2024-05-01,1
6,2024-03-01,2024-03-31,1
6,2024-03-01,2024-04-01,1
6,2024-03-01,2024-05-01,2
7,2024-04-01,2024-05-01,3
8,2023-11-01,2023-12-01,6
9,2023-12-01,2023-12-31,1
9,2023-12-01,2024-01-01,2
10,2023-12-01,2023-12-31,1
10,2023-12-01,2024-01-01,2
11,2024-01-01,2024-01-31,1
11,2024-01-01,2024-03-01,5
12,2024-02-01,2024-03-02,1
12,2024-02-01,2024-04-01,1
12,2024-02-01,2024-05-01,2
13,2024-03-01,2024-03-31,1
13,2024-03-01,2024-04-01,1
13,2024-03-01,2024-05-01,1
14,2024-04-01,2024-05-01,4
15,2023-11-01,2023-12-01,6
16,2023-12-01,2023-12-31,1
16,2023-12-01,2024-01-01,4
17,2023-12-01,2023-12-31,1
17,2023-12-01,2024-01-01,2
18,2024-01-01,2024-01-31,1
18,2024-01-01,2024-03-01,5
19,2024-02-01,2024-03-02,1
19,2024-02-01,2024-04-01,1
19,2024-02-01,2024-05-01,4
20,2024-03-01,2024-03-31,1
20,2024-03-01,2024-04-01,1
20,2024-03-01,2024-05-01,2
21,2024-04-01,2024-05-01,3
22,2023-11-01,2023-12-01,4
23,2023-12-01,2023-12-31,1
23,2023-12-01,2024-01-01,5
24,2023-12-01,2023-12-31,1
24,2023-12-01,2024-01-01,4
25,2024-01-01,2024-01-31,1
25,2024-01-01,2024-03-01,5
26,2024-02-01,2024-03-02,1
26,2024-02-01,2024-04-01,1
26,2024-02-01,2024-05-01,1
27,2024-03-01,2024-03-31,1
27,2024-03-01,2024-04-01,1
27,2024-03-01,2024-05-01,1
28,2024-04-01,2024-05-01,3
29,2023-11-01,2023-12-01,5
30,2023-12-01,2023-12-31,1
30,2023-12-01,2024-01-01,5
31,2023-12-01,2023-12-31,1
31,2023-12-01,2024-01-01,4
32,2024-01-01,2024-01-31,1
32,2024-01-01,2024-03-01,4
33,2024-02-01,2024-03-02,1
33,2024-02-01,2024-04-01,1
33,2024-02-01,2024-05-01,4
34,2024-03-01,2024-03-31,1
34,2024-03-01,2024-04-01,1
34,2024-03-01,2024-05-01,4
35,2024-04-01,2024-05-01,6
36,2023-11-01,2023-12-01,3
37,2023-12-01,2023-12-31,1
37,2023-12-01,2024-01-01,5
38,2023-12-01,2023-12-31,1
38,2023-12-01,2024-01-01,3
39,2024-01-01,2024-01-31,1
39,2024-01-01,2024-03-01,3
40,2024-02-01,2024-03-02,1
40,2024-02-01,2024-04-01,1
40,2024-02-01,2024-05-01,1
41,2024-03-01,2024-03-31,1
42,2024-04-01,2024-05-01,3
43,2023-11-01,2023-12-01,6
44,2023-12-01,2023-12-31,1
44,2023-12-01,2024-01-01,2
45,2023-12-01,2023-12-31,1
46,2024-01-01,2024-01-31,1
47,2024-02-01,2024-03-02,1
48,2024-03-01,2024-03-31,1
48,2024-03-01,2024-04-01,1
48,2024-03-01,2024-05-01,1
49,2024-04-01,2024-05-01,3
50,2023-11-01,2023-12-01,3
51,2023-12-01,2023-12-31,1
51,2023-12-01,2024-01-01,2
52,2023-12-01,2023-12-31,1
52,2023-12-01,2024-01-01,3
53,2024-01-01,2024-01-31,1
53,2024-01-01,2024-03-01,2
54,2024-02-01,2024-03-02,1
54,2024-02-01,2024-04-01,1
54,2024-02-01,2024-05-01,1
55,2024-03-01,2024-03-31,1
55,2024-03-01,2024-04-01,1
55,2024-03-01,2024-05-01,3
56,2024-04-01,2024-05-01,3
57,2023-11-01,2023-12-01,5
58,2023-12-01,2023-12-31,1
58,2023-12-01,2024-01-01,5
59,2023-12-01,2023-12-31,1
59,2023-12-01,2024-01-01,3
60,2024-01-01,2024-01-31,1
60,2024-01-01,2024-03-01,2
61,2024-02-01,2024-03-02,1
