volcano_name,volcano_image,volcano_type,country,region,subregion,epoch_period,last_eruption,summit_m,elevation_ft,latitude,longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km
Abu,https://volcano.si.edu/gallery/photos/GVP-08952.jpg,Shield(s),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,6850 BCE,641,2103,34.5°N,131.6°E,3597,9594,117805,4071152
Acamarachi,https://volcano.si.edu/gallery/photos/GVP-06887.jpg,Stratovolcano,Chile,South America,"Northern Chile, Bolivia and Argentina",holocene,Unknown - Evidence Credible,6023,19760,23.292°S,67.618°W,0,7,294,9092
Acatenango,https://volcano.si.edu/gallery/photos/GVP-07880.jpg,Stratovolcano(es),Guatemala,México and Central America,Guatemala,holocene,1972 CE,3976,13045,14.501°N,90.876°W,4329,60730,1042836,7634778
Acigol-Nevsehir,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Turkey,Mediterranean and Western Asia,Turkey,holocene,2080 BCE,1683,5522,38.537°N,34.621°E,127863,127863,218469,2253483
Adams,https://volcano.si.edu/gallery/photos/GVP-02810.jpg,Stratovolcano,United States,Canada and Western USA,USA (Washington),holocene,950 CE,3742,12277,46.206°N,121.49°W,0,70,4019,393303
Adams Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,Hawaii and Pacific Ocean,Pacific Ocean (central),holocene,50 BCE,-39,-128,25.37°S,129.27°W,0,0,0,44
Adatarayama,https://volcano.si.edu/gallery/photos/GVP-02055.jpg,Stratovolcano(es),Japan,"Japan, Taiwan, Marianas",Honshu,holocene,1996 CE,1728,5669,37.647°N,140.281°E,428,3936,717078,5024654
Adwa,https://volcano.si.edu/gallery/photos/GVP-11729.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,1670,5479,10.063°N,40.831°E,101,485,18645,1242922
Afdera,https://volcano.si.edu/gallery/photos/GVP-09903.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Uncertain,1250,4101,13.088°N,40.853°E,51,6042,8611,161009
Agrigan,https://volcano.si.edu/gallery/photos/GVP-09520.jpg,Stratovolcano,United States,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1917 CE,965,3166,18.77°N,145.67°E,0,0,0,0
